dataset,model,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
Adult Income,Random Forest,42,0.8372402497696796,0.6472937000887311,0.8819946982433259,0.23780092865590627,0.21007683587353576,0.21007683587353576,0.0935667534960772,0.18267442784393717,0.09070025143810784,0.05626096165591754,0.34879490453897605,0.30910138841475676,0.3095238095238095,0.3095238095238095,0.04077868421262673
Adult Income,Random Forest,123,0.8366260620329614,0.6431127012522362,0.8773684730060285,0.2365868043832556,0.20108325985640507,0.20108325985640507,0.07985199234834484,0.1927672910869503,0.09672635667381396,0.07826281120911016,0.3104259505832673,0.31288573893154564,0.23957252143159186,0.23957252143159186,0.01652168561737311
Adult Income,Random Forest,456,0.8407206469444161,0.6519015659955257,0.8759674811680098,0.23108480256900515,0.09071671495150524,0.09071671495150524,0.0982572323643975,0.19572147730212408,0.10151719031865691,0.10151719031865691,0.3057105375354466,0.2998802966483062,0.4696969696969697,0.4696969696969697,0.06711259068039344
Adult Income,Random Forest,789,0.8349882280683796,0.6384028712427098,0.8807737315635435,0.23488483387632925,0.42037671232876717,0.42037671232876717,0.0817828995351224,0.1784032224387364,0.08148579430859039,0.05874572813351853,0.3520043938474515,0.3013256104901901,0.4342219184324448,0.4342219184324448,0.045489241784332723
Adult Income,Random Forest,1000,0.8292558091923431,0.6268456375838927,0.8737730143290969,0.23310281593197915,0.10038491151826509,0.00436456996148904,0.09396291140160429,0.19464868466414292,0.10211290585489968,0.09931117558236202,0.30756297168416363,0.3139848882735321,0.1590836064520275,0.10063533060829155,0.02951706832241802
Adult Income,XGBoost,42,0.8674378134916573,0.697359196073849,0.9207850896864072,0.21930171945969165,0.1649578032497796,0.1649578032497796,0.06944009720579504,0.16083355576776037,0.059631408191053614,0.059631408191053614,0.3564698773482426,0.27923574057360373,0.23809523809523808,0.23809523809523808,0.03189089326116404
Adult Income,XGBoost,123,0.8687685535878801,0.7011655011655011,0.9177452412136488,0.22215203308818493,0.17009698954528274,0.17009698954528274,0.058841021177835795,0.17219761515438387,0.10066810433474549,0.10066810433474549,0.32270306315915764,0.2787086505716336,0.36538461538461536,0.36538461538461536,0.045025314407706
Adult Income,XGBoost,456,0.8670283550005118,0.6974143955276031,0.9203773173689052,0.21935711522129042,0.22635092580929594,0.22635092580929594,0.07108625697455627,0.1768751404396256,0.08337201718150467,0.08337201718150467,0.3131471616043127,0.2819310122501612,0.3939393939393939,0.3939393939393939,0.046136227299994545
Adult Income,XGBoost,789,0.8666188965093664,0.6950620173180435,0.9232372266690146,0.22501647888222384,0.3839897260273972,0.3839897260273972,0.04320724105541798,0.16372123624050444,0.05915490522651701,0.05915490522651701,0.3489225256482265,0.2835816887734064,0.4421052631578947,0.4421052631578947,0.022499863173788603
Adult Income,XGBoost,1000,0.8642645101852799,0.6874115983026874,0.9193009784471966,0.21413592711787954,0.061467820260404864,0.047068891741548935,0.07157930202865655,0.1690518332735384,0.09126075227770147,0.09126075227770147,0.321926981437469,0.2790323878254231,0.4,0.4,0.03309211697016431
