dataset,mitigation,protected_attribute,strength,alpha,seed,accuracy,f1,roc_auc,age_dpd,age_eod,age_eopd,age_di_ratio,sex_dpd,sex_eod,sex_eopd,sex_di_ratio,intersection_dpd,intersection_eod,intersection_eopd,intersection_di_ratio
Adult Income,Adversarial Debiasing,Sex,weak,0.1,123,0.8103183539768656,0.48769698645286147,,0.15155985116033135,0.19997480791031616,0.19997480791031616,0.023347837598277906,0.11740220124884057,0.26517924822103267,0.26517924822103267,0.29940820231252463,0.19167454603875844,0.2680860168718036,0.2680860168718036,0.00680900531233701
Adult Income,Adversarial Debiasing,Sex,weak,0.1,456,0.7645613675913604,0.058919803600654665,,0.011356622639180348,0.030835117773019272,0.030835117773019272,0.0,0.005809527046547593,0.011564022258392433,0.011564022258392433,0.4881335629258067,0.013120567375886525,0.032451323015476784,0.032451323015476784,0.0
Adult Income,Adversarial Debiasing,Sex,weak,0.1,789,0.7592384072064694,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
Adult Income,Adversarial Debiasing,Sex,weak,0.1,1000,0.7592384072064694,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
Adult Income,Adversarial Debiasing,Sex,medium,1.0,42,0.8304841846657796,0.555077915099409,,0.15301208262307506,0.2053911071923416,0.2053911071923416,0.08397372824907968,0.0058687479867899905,0.3089407888469879,0.3089407888469879,0.9587176934976336,0.16577867967704332,0.5585513078470825,0.5585513078470825,0.030771172535655686
Adult Income,Adversarial Debiasing,Sex,medium,1.0,123,0.8198382638959976,0.5514780835881753,,0.1748578800291296,0.2263761178989797,0.2263761178989797,0.08239199180056372,0.006563967220325706,0.29198568599683866,0.29198568599683866,0.9603030303030302,0.20470452309805304,0.6730769230769231,0.6730769230769231,0.016110795169437662
Adult Income,Adversarial Debiasing,Sex,medium,1.0,456,0.8167673252124066,0.5085118066996156,,0.13465889428933336,0.10031490112104796,0.10031490112104796,0.1314715743328904,0.019354185431288917,0.35216796037207004,0.35216796037207004,0.8664931030440389,0.17538001920874735,0.8333333333333334,0.8333333333333334,0.0190676652892562
Adult Income,Adversarial Debiasing,Sex,medium,1.0,789,0.7592384072064694,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,
Adult Income,Adversarial Debiasing,Sex,medium,1.0,1000,0.8165625959668339,0.46539379474940334,,0.10674587315276406,0.023739045049395287,0.0017115960633290461,0.11704976028456542,0.02946260235287386,0.3877436758792691,0.3877436758792691,0.7586908177849646,0.1451687580827423,0.46189111747851,0.46189111747851,0.03453097957770855
Adult Income,Adversarial Debiasing,Sex,strong,10.0,42,0.8476814412938888,0.628927680798005,,0.19017006887093701,0.3030356468069026,0.3030356468069026,0.06333104219926007,0.09246639574867146,0.1122277446865736,0.1122277446865736,0.5376680212566427,0.22027158643940814,0.4195171026156942,0.4195171026156942,0.04994143070646686
Adult Income,Adversarial Debiasing,Sex,strong,10.0,123,0.8229092025795884,0.527580557072638,,0.14547252545714487,0.17669731704244868,0.17669731704244868,0.08368121193026676,0.026176836206814103,0.34958250824112863,0.34958250824112863,0.8275376425376426,0.1892105458527441,0.6730769230769231,0.6730769230769231,0.01167246331147978
Adult Income,Adversarial Debiasing,Sex,strong,10.0,456,0.812672740300952,0.4986301369863014,,0.13203161702214578,0.04157992517804722,0.03421085779065369,0.1504462831640962,0.036112480102419436,0.3808429749152383,0.3808429749152383,0.7699422591122338,0.1884655166044845,0.7424242424242424,0.7424242424242424,0.023550239234449762
Adult Income,Adversarial Debiasing,Sex,strong,10.0,789,0.8334527587265841,0.5824993584808827,,0.17064008053979857,0.2970890410958904,0.2970890410958904,0.08931964927474673,0.005202597906803663,0.3084763051884808,0.3084763051884808,0.9674624820034551,0.18659835785980408,0.5718475073313782,0.5718475073313782,0.0342378379363445
Adult Income,Adversarial Debiasing,Sex,strong,10.0,1000,0.8002866209438019,0.488060876410391,,0.15004570616240015,0.06376335066544869,0.00462130937098848,0.14454873880716343,0.08840609133593362,0.46563512665207585,0.46563512665207585,0.5760973896863926,0.24814403998464438,0.4936962750716332,0.4936962750716332,0.028459598553056496
